>dmrw
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>02dmrd1
28	+	dl	3.74884	0.023545
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>03dmrd2
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>04dmrt1
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>05dmrt2
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>06dmrd3
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
285	+	dl	2.07929	0.12502
>07dmrd4
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
>08dmrd1d2
28	+	dl	3.74884	0.023545
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>09dmrd1t1
28	+	dl	3.74884	0.023545
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>10dmrd1t2
28	+	dl	3.74884	0.023545
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>11dmrd1d3
28	+	dl	3.74884	0.023545
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
285	+	dl	2.07929	0.12502
>12dmrd1d4
28	+	dl	3.74884	0.023545
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
>13dmrd2t1
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>14dmrd2t2
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
215	-	tw	0	1
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>15dmrd2d3
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
285	+	dl	2.07929	0.12502
>16dmrd2d4
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
>17dmrt1t2
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
238	+	dl	0.774352	0.461002
285	+	dl	2.07929	0.12502
>18dmrt1d3
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
285	+	dl	2.07929	0.12502
>19dmrt1d4
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
238	+	dl	0.774352	0.461002
>20dmrt2d3
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
285	+	dl	2.07929	0.12502
>21dmrt2d4
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
238	+	dl	0.774352	0.461002
>22dmrd3d4
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
168	+	sn	1.27198	0.280277
180	-	dl	2.91423	0.0542456
215	-	tw	0	1
226	-	tw	1.44991	0.234592
226	+	sn	2.33722	0.0965956
>23dmr4sm
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
88	+	sn	1.68689	0.185093
179	-	dl	2.91423	0.0542456
214	-	tw	0	1
225	-	tw	0	1
237	+	dl	0.774352	0.461002
284	+	dl	2.07929	0.12502
>24dmrs1
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
74	+	sn	0.971311	0.378586
88	+	sn	1.68689	0.185093
179	-	dl	2.91423	0.0542456
214	-	tw	0	1
225	-	tw	0	1
237	+	dl	0.774352	0.461002
284	+	dl	2.07929	0.12502
>25dmrs2
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
88	+	sn	1.68689	0.185093
144	+	sn	0.529498	0.5889
179	-	dl	2.91423	0.0542456
214	-	tw	0	1
225	-	tw	0	1
237	+	dl	0.774352	0.461002
284	+	dl	2.07929	0.12502
>26dmrs3
28	+	dl	3.74884	0.023545
43	+	dl	2.39972	0.0907438
88	+	sn	1.68689	0.185093
167	+	sn	1.27198	0.280277
179	-	dl	2.91423	0.0542456
214	-	tw	0	1
225	-	tw	0	1
237	+	dl	0.774352	0.461002
